experiment_id,series,task,architecture,params_M,train_split,train_size,val_size,epochs_max,epochs_best,patience,imgsz,batch,optimizer,lr0,detect_prec,detect_recall,detect_mAP50,detect_mAP50_95,mask_prec,mask_recall,mask_mAP50,mask_mAP50_95,best_by,notes
Y0,Y0,detect,YOLOv8s,11.2,paper_574,574,82,30,30,,600,16,SGD,0.01,0.5486,0.5165,0.4720,0.2089,,,,,"max detect_mAP50","Paper exact reproduction (Abedeen et al. 2023 baseline)"
YS0,Y0,segment,YOLOv8s-seg,11.8,paper_574,574,82,30,,,600,16,SGD,0.01,,,,,,,,,,"max composite fitness","Paper exact seg baseline — run incomplete, no results.csv"
Y0A_detect,Y0,detect,YOLOv8s,11.2,paper_574,574,82,30,30,,600,16,SGD,0.01,0.5992,0.4835,0.4842,0.2307,,,,,"max detect_mAP50","Paper stated splits; SGD exact paper hyperparams"
Y0A_seg,Y0,segment,YOLOv8s-seg,11.8,paper_574,574,82,30,27,,600,16,SGD,0.01,0.6779,0.5165,0.5301,0.2629,0.6635,0.5055,0.4937,0.1761,"max composite fitness","Paper stated splits; SGD exact paper hyperparams"
Y0B_detect,Y0,detect,YOLOv8s,11.2,author_notebook_635,635,82,30,30,,600,16,AdamW,auto,0.6711,0.5158,0.5469,0.2307,,,,,"max detect_mAP50","Author notebook split (574 train.csv + 61 test.csv) — test-set leak reproduced"
Y0B_seg,Y0,segment,YOLOv8s-seg,11.8,author_notebook_635,635,82,30,29,,600,16,AdamW,auto,0.6350,0.5824,0.5619,0.2428,0.6092,0.5482,0.5086,0.1820,"max composite fitness","Author notebook split — test-set leak reproduced"
Y0C_detect,Y0,detect,YOLOv8s,11.2,full_neg_3940,3940,82,30,28,,600,16,AdamW,auto,0.3351,0.2967,0.2895,0.1037,,,,,"max detect_mAP50","Full negative sampling (1:6 ratio); UNDERPERFORMS — negatives dilute fracture signal"
Y1A_detect,Y1,detect,YOLOv8s,11.2,author_notebook_635,635,82,100,52,10,600,16,AdamW,auto,0.6743,0.4945,0.5308,0.2181,,,,,"max detect_mAP50","Extended training; aggressive early stopping (patience=10)"
Y1A_seg,Y1,segment,YOLOv8s-seg,11.8,author_notebook_635,635,82,100,54,10,600,16,AdamW,auto,0.7516,0.4725,0.5803,0.2478,0.7024,0.4396,0.5182,0.1858,"max composite fitness","Extended training; aggressive early stopping (patience=10)"
Y1B_detect,Y1,detect,YOLOv8s,11.2,author_notebook_635,635,82,200,170,50,600,16,AdamW,auto,0.7611,0.5953,0.6514,0.2824,,,,,"max detect_mAP50","BEST DETECT — permissive patience allows deeper convergence; +8.9pp vs paper"
Y1B_seg,Y1,segment,YOLOv8s-seg,11.8,author_notebook_635,635,82,200,101,50,600,16,AdamW,auto,0.8020,0.6044,0.6080,0.2574,0.8254,0.4615,0.5682,0.1785,"max composite fitness","BEST SEG — permissive patience; box mAP50=0.608 mask mAP50=0.568; paper reference mask mAP50=0.589 (−2.1pp)"
Y2_detect,Y2,detect,YOLOv8s,11.2,author_notebook_635,635,82,200,132,50,640,16,AdamW,auto,0.6831,0.5824,0.6073,0.2562,,,,,"max detect_mAP50","Resolution ablation: COCO-standard 640px; −4.4pp vs Y1B"
Y2_seg,Y2,segment,YOLOv8s-seg,11.8,author_notebook_635,635,82,200,92,50,640,16,AdamW,auto,0.7722,0.4615,0.5366,0.2387,0.7722,0.4615,0.5237,0.1820,"max composite fitness","Resolution ablation: 640px; −4.5pp mask mAP50 vs Y1B"
Y3_detect,Y3,detect,YOLOv8s,11.2,author_notebook_635,635,82,200,123,50,800,8,AdamW,auto,0.7905,0.5275,0.6013,0.2710,,,,,"max detect_mAP50","Resolution ablation: 800px (batch=8 for VRAM); −5.0pp vs Y1B"
Y3_seg,Y3,segment,YOLOv8s-seg,11.8,author_notebook_635,635,82,200,94,50,800,8,AdamW,auto,0.7588,0.4506,0.5511,0.2458,0.6872,0.4615,0.5220,0.1860,"max composite fitness","Resolution ablation: 800px; −4.6pp mask mAP50 vs Y1B"
Y4_detect,Y4,detect,YOLOv8m,25.9,author_notebook_635,635,82,200,119,50,600,16,AdamW,auto,0.7099,0.5824,0.6134,0.2502,,,,,"max detect_mAP50","Larger model ablation (YOLOv8m); local run mAP50=0.6134 — Colab run showed 0.565 (−8.6pp vs Y1B); log filename shows YOLOv8s — verify weights used"
Y4_seg,Y4,segment,YOLOv8m-seg,,,author_notebook_635,635,82,200,,50,600,16,AdamW,auto,,,,,,,,,,"","Deliberately skipped — Y4 detect result conclusive (larger model underperforms)"
Y5_detect,Y5,detect,YOLOv8s,11.2,balanced_neg_1270,1270,164,200,143,50,600,16,AdamW,auto,0.727,0.505,0.536,0.249,,,,,"max detect_mAP50","Negative sampling ablation: 1:1 ratio (635 neg train + 82 neg val); WORSE than Y1B (−0.115 mAP50) — confirms negatives hurt detection regardless of ratio"
